learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77042.0,0.849566733,9.458955281145249E-8,77042.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,77042.0,445624.0,4292.0,1513.8251770487457,1714.3999999999999,83.48413022844521,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
154084.0,1.48643088,1.6796450593103965E-7,154084.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,154084.0,445352.0,8834.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231126.0,2.048332893,2.3278193389608835E-7,231126.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,231126.0,445896.0,2976.0,1700.4901254246276,1740.8000000000002,166.96826045689042,1.4,1.2649110640673518,1.2000000000000002,0.6324555320336759,1.2000000000000002,0.6324555320336759,0.20000000000000004,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
308168.0,2.533838836,2.8871847228455873E-7,308168.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,308168.0,445352.0,5418.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
385210.0,3.01390007,3.440277100634616E-7,385210.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,385210.0,445352.0,2960.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
462252.0,3.518812487,4.026985747417228E-7,462252.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,462252.0,449168.0,5652.0,8780.660567406076,2060.8,837.1481748571555,2.8,3.3266599866332394,1.9,1.6633299933166197,1.9,1.6633299933166197,0.8999999999999999,1.6633299933166197,0.0,0.0,0.0,0.0,1.0,0.0
539294.0,4.005195578,4.593179989479834E-7,539294.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,539294.0,449976.0,6944.0,6944.422222186667,2136.7999999999997,498.58038469237835,4.4,3.777124126457412,2.7,1.888562063228706,2.7,1.888562063228706,1.7,1.888562063228706,0.0,0.0,0.0,0.0,1.0,0.0
616336.0,4.474531767,5.153507679132765E-7,616336.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,616336.0,461488.0,10436.0,8934.32830280051,3272.8,1338.0792868054484,5.4,3.7475918193480524,3.2,1.8737959096740262,3.2,1.8737959096740262,2.2,1.8737959096740262,0.0,0.0,0.0,0.0,1.0,0.0
693378.0,4.94742146,5.701665081658876E-7,693378.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,693378.0,448072.0,11028.0,9726.96709611423,1952.0,278.2804340948174,3.0,2.1081851067789197,2.0,1.0540925533894598,2.0,1.0540925533894598,1.0,1.0540925533894598,0.0,0.0,0.0,0.0,1.0,0.0
770420.0,5.417212199,6.25193757671929E-7,770420.0,8.0,0.0,-Infinity,-Infinity,?,?,14.814814814814813,50.0,0.0,100.0,?,?,8.0,770420.0,452768.0,15470.0,9883.909482925603,2412.7999999999997,1108.0967466787365,4.3999999999999995,2.3190036174568114,2.6999999999999997,1.1595018087284057,2.6999999999999997,1.1595018087284057,1.7000000000000002,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
847462.0,5.886162033,6.799012273863453E-7,847462.0,59.699999999999996,3.155729432007133,-4937.499999999995,-2138.8888888888873,58.72756289242549,6.496519721577726,74.31485022307203,51.35419975168192,3.389830508474576,99.31856899488926,68.57320660782983,77.77777777777779,59.36863543788188,847462.0,450944.0,22112.0,7542.656472799664,2224.0,384.1666305133749,3.4000000000000004,0.8432740427115678,2.2,0.42163702135578385,2.2,0.42163702135578385,1.2000000000000002,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
924504.0,6.368093134,7.354258979292233E-7,924504.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,924504.0,445352.0,4754.0,1513.8251770487461,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1001546.0,6.850547315,7.913163719454324E-7,1001546.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1001546.0,447800.0,9996.0,10636.5460141491,1925.6,262.52923646710286,2.8,1.9888578520235065,1.9,0.9944289260117533,1.9,0.9944289260117533,0.9,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
1078588.0,7.357329695,8.497755510365134E-7,1078588.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1078588.0,445896.0,13938.0,2981.889781106382,1740.8000000000002,166.96826045689042,1.4,1.2649110640673518,1.2000000000000002,0.6324555320336759,1.2000000000000002,0.6324555320336759,0.19999999999999998,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
1155630.0,7.839088557,9.057549736550242E-7,1155630.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1155630.0,449160.0,13430.0,8573.862088412146,2057.6,255.04823073293412,3.8,1.9321835661585915,2.4,0.9660917830792958,2.4,0.9660917830792958,1.4,0.9660917830792959,0.0,0.0,0.0,0.0,1.0,0.0
1232672.0,8.310835694,9.602674149111244E-7,1232672.0,0.8999999999999999,0.0016145047103173563,-49449.999999999956,-98999.99999999991,50.224792071728544,0.2014098690835851,1.5888778550148956,50.05040322580645,0.10080645161290322,100.0,50.4004004004004,100.0,0.8008008008008007,1232672.0,446672.0,16922.000000000004,1513.825177048746,1808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1309714.0,8.780632395,1.0143940462719753E-6,1309714.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1309714.0,445352.0,40964.0,1513.8251770487452,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1386756.0,9.275973769,1.0714637530008766E-6,1386756.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1386756.0,445352.0,12506.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1463798.0,9.760687269,1.1273430993866817E-6,1463798.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1463798.0,445624.0,12548.0,1513.8251770487457,1714.3999999999999,83.48413022844521,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
1540840.0,10.242812022,1.1828900811343723E-6,1540840.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1540840.0,445352.0,10590.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1617882.0,10.827057103,1.2502437514064027E-6,1617882.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1617882.0,445624.0,11632.0,1513.8251770487457,1714.3999999999999,83.48413022844521,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
1694924.0,11.44003465,1.3208666605250165E-6,1694924.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1694924.0,445352.0,13674.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1771966.0,12.042701305,1.3903016220716325E-6,1771966.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1771966.0,445352.0,17216.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1849008.0,12.644540947,1.4596413010679744E-6,1849008.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1849008.0,445352.0,11258.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1926050.0,13.239927061,1.5282374505114492E-6,1926050.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1926050.0,445352.0,13799.999999999998,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2003092.0,13.84428167,1.5978668861012367E-6,2003092.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2003092.0,445352.0,12342.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2080134.0,14.396600339,1.661501111133138E-6,2080134.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2080134.0,445352.0,10884.0,1513.825177048746,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2157176.0,14.865415362,1.7155146405434899E-6,2157176.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2157176.0,445352.0,10426.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2234218.0,15.329486904,1.768981659842324E-6,2234218.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2234218.0,445352.0,8467.999999999998,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2311260.0,15.798090972,1.8229708845193851E-6,2311260.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2311260.0,445352.0,7010.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2388302.0,16.271001773,1.8774563003126554E-6,2388302.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2388302.0,445352.0,5552.0,1513.8251770487457,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2465344.0,16.741724569,1.9317227529065663E-6,2465344.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2465344.0,445624.0,4093.9999999999995,1513.825177048746,1714.3999999999999,83.48413022844521,1.2000000000000002,0.6324555320336759,1.1000000000000003,0.31622776601683794,1.1000000000000003,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
2542386.0,17.202739623,1.985098100011872E-6,2542386.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2542386.0,447536.0,3136.0,1513.8251770487457,1902.3999999999999,591.0839759853643,1.6,1.3498971154211057,1.2999999999999998,0.6749485577105528,1.2999999999999998,0.6749485577105528,0.3,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
2619428.0,17.665124551,2.0396770425350073E-6,2619428.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2619428.0,456272.0,14428.0,13222.455646865803,2760.0,1129.9872172335008,3.9999999999999996,3.1622776601683795,2.5,1.5811388300841898,2.5,1.5811388300841898,1.5,1.5811388300841898,0.0,0.0,0.0,0.0,1.0,0.0
2696470.0,18.120326721,2.092634692358306E-6,2696470.0,3.0,0.0,-Infinity,-Infinity,?,?,5.825242718446601,50.0,0.0,100.0,?,?,3.0,2696470.0,449704.0,12020.0,7387.8654261941965,2110.3999999999996,222.62434727585392,4.199999999999999,1.6865480854231358,2.5999999999999996,0.8432740427115678,2.5999999999999996,0.8432740427115678,1.6,0.8432740427115679,0.0,0.0,0.0,0.0,1.0,0.0
2773512.0,18.574309091,2.145194870631912E-6,2773512.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2773512.0,447528.0,10712.0,11593.101396951552,1899.2,272.65802757300213,2.6,2.065591117977289,1.7999999999999998,1.0327955589886444,1.7999999999999998,1.0327955589886444,0.8,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
2850554.0,19.046020439,2.199575286710703E-6,2850554.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2850554.0,445624.0,5304.0,1513.8251770487457,1714.3999999999999,83.48413022844522,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
2927596.0,19.509135885,2.2529973271485726E-6,2927596.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2927596.0,445896.0,36646.0,3562.5365495201127,1740.8000000000002,166.96826045689042,1.4,1.2649110640673518,1.2000000000000002,0.6324555320336759,1.2000000000000002,0.6324555320336759,0.19999999999999998,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
3004638.0,19.965329694,2.305588830938277E-6,3004638.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,3004638.0,445624.0,7888.000000000001,1513.8251770487457,1714.3999999999999,83.48413022844521,1.2000000000000002,0.6324555320336759,1.1000000000000003,0.31622776601683794,1.1000000000000003,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
3081680.0,20.418598498,2.3578112356704925E-6,3081680.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,3081680.0,445352.0,14430.0,1513.8251770487461,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3158722.0,20.892518918,2.4129131950678464E-6,3158722.0,27.800000000000004,0.0,-Infinity,-Infinity,?,?,43.50547730829421,50.0,0.0,100.0,?,?,27.800000000000004,3158722.0,449432.0,11772.0,7350.170066059696,2084.0,224.3568585980825,4.0,1.6996731711975948,2.5,0.8498365855987975,2.5,0.8498365855987975,1.5,0.8498365855987975,0.0,0.0,0.0,0.0,1.0,0.0
3235764.0,21.362837117,2.4671660990956773E-6,3235764.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,3235764.0,445896.0,7614.0,2981.889781106382,1740.8000000000002,166.96826045689042,1.4,1.2649110640673518,1.2000000000000002,0.6324555320336759,1.2000000000000002,0.6324555320336759,0.19999999999999998,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
3312806.0,21.831499042,2.5211619896443885E-6,3312806.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,3312806.0,445352.0,5555.999999999999,1513.8251770487461,1688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
